baseline_time,baseline_eval,eval_0.001s,error_0.001s,best_move_match_0.001s,eval_0.005s,error_0.005s,best_move_match_0.005s,eval_0.01s,error_0.01s,best_move_match_0.01s,eval_0.05s,error_0.05s,best_move_match_0.05s,eval_0.1s,error_0.1s,best_move_match_0.1s,eval_0.2s,error_0.2s,best_move_match_0.2s,eval_0.5s,error_0.5s,best_move_match_0.5s
1.0,0.85,0.83,-0.020000000000000018,True,0.83,-0.020000000000000018,True,0.75,-0.09999999999999998,True,0.87,0.020000000000000018,True,0.88,0.030000000000000027,True,0.93,0.08000000000000007,True,0.97,0.12,True
1.0,0.77,1.0,0.22999999999999998,True,1.03,0.26,True,1.12,0.3500000000000001,True,1.04,0.27,True,0.88,0.10999999999999999,True,1.13,0.3599999999999999,True,0.78,0.010000000000000009,True
1.0,0.78,0.76,-0.020000000000000018,True,0.75,-0.030000000000000027,True,0.75,-0.030000000000000027,True,1.06,0.28,True,0.82,0.039999999999999925,True,0.67,-0.10999999999999999,True,0.75,-0.030000000000000027,True
1.0,0.78,1.1,0.32000000000000006,True,1.16,0.3799999999999999,True,1.08,0.30000000000000004,True,1.18,0.3999999999999999,True,1.18,0.3999999999999999,True,1.17,0.3899999999999999,True,1.04,0.26,True
1.0,1.32,1.2,-0.1200000000000001,False,1.18,-0.14000000000000012,False,1.09,-0.22999999999999998,False,1.0,-0.32000000000000006,False,1.28,-0.040000000000000036,True,1.37,0.050000000000000044,True,1.37,0.050000000000000044,True
1.0,1.11,1.33,0.21999999999999997,True,1.35,0.24,True,1.32,0.20999999999999996,True,1.29,0.17999999999999994,True,1.32,0.20999999999999996,True,1.22,0.10999999999999988,True,1.37,0.26,True
1.0,1.15,1.3,0.15000000000000013,True,1.38,0.22999999999999998,True,1.37,0.2200000000000002,True,1.38,0.22999999999999998,True,1.3,0.15000000000000013,True,1.36,0.2100000000000002,True,1.46,0.31000000000000005,True
1.0,1.46,1.36,-0.09999999999999987,True,1.36,-0.09999999999999987,True,1.43,-0.030000000000000027,True,1.39,-0.07000000000000006,True,1.54,0.08000000000000007,True,1.37,-0.08999999999999986,True,1.22,-0.24,True
1.0,1.38,1.39,0.010000000000000009,True,1.38,0.0,True,1.42,0.040000000000000036,True,1.49,0.1100000000000001,True,1.41,0.030000000000000027,True,1.41,0.030000000000000027,True,1.24,-0.1399999999999999,False
1.0,1.33,1.34,0.010000000000000009,False,1.43,0.09999999999999987,False,1.35,0.020000000000000018,True,1.48,0.1499999999999999,False,1.42,0.08999999999999986,True,1.29,-0.040000000000000036,True,1.32,-0.010000000000000009,True
1.0,1.31,1.48,0.16999999999999993,True,1.48,0.16999999999999993,False,1.1,-0.20999999999999996,True,1.51,0.19999999999999996,True,1.41,0.09999999999999987,True,1.28,-0.030000000000000027,True,1.3,-0.010000000000000009,True
1.0,1.3,1.31,0.010000000000000009,True,1.33,0.030000000000000027,True,1.38,0.07999999999999985,True,1.31,0.010000000000000009,True,1.44,0.1399999999999999,True,1.47,0.16999999999999993,True,1.35,0.050000000000000044,True
1.0,1.42,1.41,-0.010000000000000009,True,1.41,-0.010000000000000009,True,1.51,0.09000000000000008,True,1.36,-0.05999999999999983,True,1.51,0.09000000000000008,True,1.25,-0.16999999999999993,True,1.28,-0.1399999999999999,True
1.0,1.13,1.19,0.06000000000000005,True,1.18,0.050000000000000044,True,1.09,-0.039999999999999813,True,1.18,0.050000000000000044,True,1.07,-0.05999999999999983,True,1.13,0.0,True,1.16,0.030000000000000027,True
1.0,1.33,1.26,-0.07000000000000006,True,1.11,-0.21999999999999997,True,1.35,0.020000000000000018,True,1.44,0.10999999999999988,True,1.45,0.11999999999999988,False,1.36,0.030000000000000027,False,1.08,-0.25,False
